doc_code,nhom,nguon,ngay_tai,so_dieu,ghi_chu
TT-06-2019,ngoai-hoi,docx batch luat (06_2019_TT-NHNN_419723.docx),2026-06-18,15,quan ly ngoai hoi voi FDI — dong von dau tu nuoc ngoai
ND-06-2021,xay-dung,docx batch luat (06_2021_ND-CP_463904.docx),2026-06-18,54,"quan ly chat luong, thi cong, bao tri cong trinh"
PLNH-VBHN,ngoai-hoi,docx batch luat (07_VBHN-VPQH_204381.docx),2026-06-18,49,Phap lenh Ngoai hoi (hop nhat) — dung de chieu dieu khoan thanh toan ngoai te
TT-09-2020,thue,docx batch luat (09_2020_TT-BTC_436166.docx),2026-06-18,7,⚠️ MARGINAL: khung gia dich vu thuy loi — can xac nhan lien quan KCN
LTXNK-2016,hai-quan,docx batch luat (107_2016_QH13_280693 (1).docx),2026-06-18,22,Luat Thue XK-NK 2016 — uu dai mien thue cho EPE
LXD-2025,xay-dung,docx batch luat (135_2025_QH15_675213.docx),2026-06-18,95,Luat Xay dung 2025 (moi) — xay dung tren dat thue
ND-136-2020,moi-truong,docx batch luat (136_2020_ND-CP_458292.docx),2026-06-18,67,🔴 huong dan Luat PCCC 2001 — DA BI THAY boi ND 105/2025; chi cho HD ky truoc 01/07/2025
TT-16-2014,ngoai-hoi,docx batch luat (16_2014_TT-NHNN_242207.docx),2026-06-18,11,tai khoan ngoai te nguoi cu tru/khong cu tru
LLN-2017,lam-nghiep,docx batch luat (16_2017_QH14_367277.docx),2026-06-18,108,⚠️ SITUATIONAL: Luat Lam nghiep — chi can khi HD lien quan chuyen muc dich dat rung
ND-175-2024,xay-dung,docx batch luat (175_2024_ND-CP_609382.docx),2026-06-18,144,chi tiet Luat Xay dung ve quan ly hoat dong xay dung
ND-18-2021,hai-quan,docx batch luat (18_2021_ND-CP_386321.docx),2026-06-18,10,sua ND 134/2016 ve thue XNK
ND-206-2026,xay-dung,docx batch luat (206_2026_ND-CP_457659.docx),2026-06-18,38,quan ly chi phi dau tu xay dung
LQH-2017,quy-hoach,docx batch luat (21_2017_QH14_322935.docx),2026-06-18,59,Luat Quy hoach 2017
LDTHAU-2023,dau-thau,docx batch luat (22_2023_QH15_518805.docx),2026-06-18,96,Luat Dau thau 2023
ND-23-2024,dau-thau,docx batch luat (23_2024_ND-CP_578279.docx),2026-06-18,67,chon nha dau tu thuc hien du an (dau thau)
PLNH-2005,ngoai-hoi,docx batch luat (28_2005_PL-UBTVQH11_8043.docx),2026-06-18,46,Phap lenh Ngoai hoi 2005 (ban goc) — xem ban hop nhat PLNH-VBHN
LTNN-2023,moi-truong,docx batch luat (28_2023_QH15_583801.docx),2026-06-18,86,Luat Tai nguyen nuoc 2023 — giay phep khai thac/xa nuoc
LQHDT-2009,quy-hoach,docx batch luat (30_2009_QH12_m_90631.docx),2026-06-18,76,⚠️ Luat Quy hoach do thi 2009 — kiem tra da bi thay boi Luat QH do thi-nong thon 2024 chua
TT-32-2013,ngoai-hoi,docx batch luat (32_2013_TT-NHNN_217577.docx),2026-06-18,7,HAN CHE su dung ngoai hoi tren lanh tho VN — gia thue ghi bang USD?
LTM-2005,thuong-mai,docx batch luat (36_2005_QH11_2633.docx),2026-06-18,324,Luat Thuong mai 2005 — nen chung hop dong thuong mai
TT-38-2015,hai-quan,docx batch luat (38_2015_TT-BTC_269789.docx),2026-06-18,149,TT thu tuc hai quan (sua boi TT 39/2018)
TT-39-2018,hai-quan,docx batch luat (39_2018_TT-BTC_342345.docx),2026-06-18,11,sua TT 38/2015 thu tuc hai quan
LGTGT-2024,thue,docx batch luat (48_2024_QH15_556390.docx),2026-06-18,18,Luat Thue GTGT 2024
ND-50-2024,moi-truong,docx batch luat (50_2024_ND-CP_585649.docx),2026-06-18,16,🔴 sua ND 136/2020 (PCCC cu) — giai doan truoc Luat PCCC 55/2024
LCD-2024,lao-dong,docx batch luat (50_2024_QH15_445264.docx),2026-06-18,37,Luat Cong doan 2024
LHQ-2014,hai-quan,docx batch luat (54_2014_QH13_238637.docx),2026-06-18,104,Luat Hai quan 2014 — doanh nghiep che xuat (EPE) trong KCN
LDN-2020,doanh-nghiep,docx batch luat (59_2020_QH14_427301.docx),2026-06-18,218,Luat Doanh nghiep 2020 — nang luc giao ket cua phap nhan
LDL-2024,dien-luc,docx batch luat (61_2024_QH15_613892.docx),2026-06-18,81,Luat Dien luc 2024 — KCN cam ket ha tang dien
L76-2025,doanh-nghiep,docx batch luat (76_2025_QH15_659899.docx),2026-06-18,3,sua Luat Doanh nghiep 2025
ND-96-2024,dat-dai,docx batch luat (96_2024_ND-CP_600395.docx),2026-06-18,285,chi tiet Luat KD BDS 2023; so Dieu cao (285) do PHU LUC chua mau hop dong (rat huu ich lam mau)
ND-96-2026,dau-tu,docx batch luat (96_2026_ND-CP_690303.docx),2026-06-18,112,⭐ huong dan Luat Dau tu 143/2025 — hieu luc 01/07/2026 (chua co hieu luc tai 18/06/2026); GIAI QUYET muc theo doi
